Industry Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fossil fuel combustion: carbon dioxide,813.6322144212,797.1607160141,828.7199719437,826.5611348881,835.5563156376,847.9673572567,883.1571299689,880.262398334,844.2876283083,811.9256275768,827.8601500334,822.7270908526,808.3256405309,806.4286700819,825.9097698715,799.6884835567,819.2531003406,815.1714700072,774.4719347269,698.868390935,748.5224706842,748.5764685417,757.7881914228,788.513575729,767.3781698457,760.5546787816,761.6744198162,765.5901265467,793.8237714743
Natural gas and petroleum systems,277.8168098762,280.224158711,277.2181694353,276.0290592775,276.2459539664,267.505325469,264.0379076909,263.0560777315,253.3098536109,246.2833541399,246.699025702,248.2351496924,245.2514507875,244.37310476289997,244.5519982223,241.37919639280003,248.52812338840002,245.8890969029,249.72426661269998,236.1341330296,234.3599247293,238.901299969,238.47288837930003,249.57971113140002,251.8628490223,251.5829344434,234.9112999026,239.880151971,255.0760251067
Other industrial categories,106.27476835979999,115.5483816171,114.7446565263,104.86508527080001,114.6909669146,115.3242373675,109.1553740187,116.7319049635,133.0843947002,139.42364967769998,122.9053425907,120.6866157794,120.3752482323,115.9629145748,134.8551780474,125.60821826489999,126.43463849029999,112.63751372179999,111.88360130519999,98.4004107622,104.1558128099,98.781655812,99.0723290767,112.6464651586,109.0989761076,115.1912238824,102.38358173079999,112.69749601699999,124.4234590823
Chemical production and use,72.26693721230001,73.02832061730001,73.22626260649999,75.43936880610002,78.90582216489999,83.26082541150002,84.7472058226,79.7054174638,76.6425800893,75.6340036591,73.75037976709999,62.3240283231,66.11653431180001,64.2335386036,65.73088558609999,65.59901365430001,66.66502436649999,73.07230296239999,58.1244956398,54.78035112280001,66.6984667725,70.223983855,65.2340942581,64.4568722363,63.344064957899995,68.45156142489999,70.6923549503,71.6918453264,75.108408043
Mineral products,51.2992161418,49.9829237225,50.7202217244,52.7709706544,55.02098305729999,57.8189058847,58.9017312992,60.2242517686,61.4453917951,62.0120827441,61.946073484399996,61.2373613105,62.7894577809,62.9148770712,67.1977813641,68.15152397920001,70.04966448760001,67.7538075919,62.733150378299996,47.8811701115,53.2136378064,54.31568035540001,56.5277075283,59.1701680269,63.1469279772,62.3534341987,60.2864167934,61.172563450199995,61.50052506140001
Coal mining,103.68643726959999,100.5923767678,98.60604341940001,85.4608846588,87.2779550514,86.20413026829999,86.0463510038,84.42657399219999,83.9581951942,79.5118377502,77.01580495050001,75.9644698581,71.1430859727,71.1284258239,72.1843743833,70.7179989882,72.07750126719999,71.1184796882,81.9700039084,86.21819610780001,88.5224885883,77.6511846974,72.6672273742,70.8246851535,70.9034134767,67.6202588064,60.5398052542,61.218907994400006,58.9184690059
Metal production,141.5512278981,128.19224895920001,127.7288156776,122.5057111085,122.84635090830001,126.69556612429999,126.7675435186,126.03241629600001,116.4347694322,113.59004946060001,112.92906797650001,93.73457887340001,91.82538385590001,87.79778481470001,85.5096357926,83.41027824660001,85.372778434,88.91067364159998,82.7169381438,53.9371575995,67.7580725262,75.0186163283,69.01375186160001,66.5386732063,67.9157473794,57.16799494309999,50.7796912059,47.513735846,50.432287498200004
Production and use of fluorinated gases,49.6784788534,45.012039578099994,49.6464974112,46.425529782299996,44.9598987766,49.3111982582,49.249910225,48.939993346899996,62.7761048174,51.817262529900006,48.0323050914,34.6084049155,38.7543949078,28.995276760399996,35.8573111766,34.6644597505,33.5963764406,38.1723475139,34.5471522376,25.8686795817,31.081532221899998,35.2813518872,33.5039055906,33.5991412197,36.8959349262,38.9937097657,39.813904904000005,43.983087597499996,43.6758587172
Fossil fuel combustion: other greenhouse gases,12.4707768944,12.304786219,12.4652775092,12.35044145,12.6030050014,12.722303926799999,12.8457007428,12.9369191521,12.571023289300001,12.3982366418,12.6300163244,12.9710662225,12.8224968195,13.0500416405,12.8066923017,12.4409155289,12.335448860500001,11.397958150000001,10.3625618808,9.1773599109,9.479962187,9.0824485645,8.6518819719,8.6252791018,8.23176785,7.8384964264,7.706328388599999,7.7787801205000005,7.7842334164
Total,1628.6768669268,1602.0459522061,1633.0759162536003,1602.4081858965,1628.1072514785005,1646.8098499669998,1674.9088542905001,1672.3159530486,1644.5099412369,1592.5961041801002,1583.7681659204,1532.4887658275002,1517.4036931993,1494.8846341339,1544.6036267455997,1501.6600883621,1534.3126560756998,1524.1236501798999,1466.5341048335001,1311.265849161,1403.7923683257002,1407.8326900104996,1400.9319774634996,1453.9545709635,1438.777851543,1429.7542926726,1388.787802946,1411.5266948697,1470.7430374054
